timestamp,archive_url,status,distrito,barrio,precio_medio
"2024-01-02 09:43:25,https://web.archive.org/web/20240102094325/https://www.idealista.com/alquiler-viviendas/sevilla/centro/santa-cruz-alfalfa/,200,centro,santa-cruz-alfalfa,""15,04"""
"2024-05-11 12:36:44,https://web.archive.org/web/20240511123644/https://www.idealista.com/alquiler-viviendas/sevilla/centro/santa-cruz-alfalfa/,200,centro,santa-cruz-alfalfa,""15,20"""
"2024-07-16 19:11:50,https://web.archive.org/web/20240716191150/https://www.idealista.com/alquiler-viviendas/sevilla/centro/santa-cruz-alfalfa/,200,centro,santa-cruz-alfalfa,""15,35"""
"2024-08-23 10:38:18,https://web.archive.org/web/20240823103818/https://www.idealista.com/alquiler-viviendas/sevilla/centro/santa-cruz-alfalfa/,200,centro,santa-cruz-alfalfa,""15,03"""
"2024-09-17 13:25:20,https://web.archive.org/web/20240917132520/https://www.idealista.com/alquiler-viviendas/sevilla/centro/santa-cruz-alfalfa/,200,centro,santa-cruz-alfalfa,""15,31"""
"2024-11-18 08:10:32,https://web.archive.org/web/20241118081032/https://www.idealista.com/alquiler-viviendas/sevilla/centro/santa-cruz-alfalfa/,200,centro,santa-cruz-alfalfa,""17,36"""
"2025-01-24 09:12:28,https://web.archive.org/web/20250124091228/https://www.idealista.com/alquiler-viviendas/sevilla/centro/santa-cruz-alfalfa/,200,centro,santa-cruz-alfalfa,""17,15"""
"2024-04-07 04:18:54,https://web.archive.org/web/20240407041854/https://www.idealista.com/alquiler-viviendas/sevilla/centro/arenal-museo-tetuan/,200,centro,arenal-museo-tetuan,""14,43"""
"2024-05-11 12:05:32,https://web.archive.org/web/20240511120532/https://www.idealista.com/alquiler-viviendas/sevilla/centro/arenal-museo-tetuan/,200,centro,arenal-museo-tetuan,""14,46"""
"2024-07-17 05:19:29,https://web.archive.org/web/20240717051929/https://www.idealista.com/alquiler-viviendas/sevilla/centro/arenal-museo-tetuan/,200,centro,arenal-museo-tetuan,""15,22"""
"2024-08-22 17:38:21,https://web.archive.org/web/20240822173821/https://www.idealista.com/alquiler-viviendas/sevilla/centro/arenal-museo-tetuan/,200,centro,arenal-museo-tetuan,""14,82"""
"2024-09-17 14:06:25,https://web.archive.org/web/20240917140625/https://www.idealista.com/alquiler-viviendas/sevilla/centro/arenal-museo-tetuan/,200,centro,arenal-museo-tetuan,""14,80"""
"2024-11-18 06:17:23,https://web.archive.org/web/20241118061723/https://www.idealista.com/alquiler-viviendas/sevilla/centro/arenal-museo-tetuan/,200,centro,arenal-museo-tetuan,""15,30"""
"2025-01-23 18:50:31,https://web.archive.org/web/20250123185031/https://www.idealista.com/alquiler-viviendas/sevilla/centro/arenal-museo-tetuan/,200,centro,arenal-museo-tetuan,""17,25"""
"2024-04-09 11:16:13,https://web.archive.org/web/20240409111613/https://www.idealista.com/alquiler-viviendas/sevilla/centro/encarnacion-las-setas/,200,centro,encarnacion-las-setas,""15,54"""
"2024-05-11 11:47:15,https://web.archive.org/web/20240511114715/https://www.idealista.com/alquiler-viviendas/sevilla/centro/encarnacion-las-setas/,200,centro,encarnacion-las-setas,""16,57"""
"2024-07-17 01:35:00,https://web.archive.org/web/20240717013500/https://www.idealista.com/alquiler-viviendas/sevilla/centro/encarnacion-las-setas/,200,centro,encarnacion-las-setas,""15,20"""
"2024-05-11 11:43:13,https://web.archive.org/web/20240511114313/https://www.idealista.com/alquiler-viviendas/sevilla/centro/puerta-carmona-puerta-osario-amador-de-los-rios/,200,centro,puerta-carmona-puerta-osario-amador-de-los-rios,""14,38"""
"2024-07-17 05:31:15,https://web.archive.org/web/20240717053115/https://www.idealista.com/alquiler-viviendas/sevilla/centro/puerta-carmona-puerta-osario-amador-de-los-rios/,200,centro,puerta-carmona-puerta-osario-amador-de-los-rios,""14,57"""
"2024-08-22 09:54:30,https://web.archive.org/web/20240822095430/https://www.idealista.com/alquiler-viviendas/sevilla/centro/puerta-carmona-puerta-osario-amador-de-los-rios/,200,centro,puerta-carmona-puerta-osario-amador-de-los-rios,""14,80"""
"2024-09-18 08:52:27,https://web.archive.org/web/20240918085227/https://www.idealista.com/alquiler-viviendas/sevilla/centro/puerta-carmona-puerta-osario-amador-de-los-rios/,200,centro,puerta-carmona-puerta-osario-amador-de-los-rios,""15,90"""
"2025-01-24 11:57:00,https://web.archive.org/web/20250124115700/https://www.idealista.com/alquiler-viviendas/sevilla/centro/puerta-carmona-puerta-osario-amador-de-los-rios/,200,centro,puerta-carmona-puerta-osario-amador-de-los-rios,""15,61"""
"2024-04-09 13:26:51,https://web.archive.org/web/20240409132651/https://www.idealista.com/alquiler-viviendas/sevilla/centro/alameda/,200,centro,alameda,""16,75"""
"2024-05-11 11:47:21,https://web.archive.org/web/20240511114721/https://www.idealista.com/alquiler-viviendas/sevilla/centro/alameda/,200,centro,alameda,""16,02"""
"2024-07-17 00:03:08,https://web.archive.org/web/20240717000308/https://www.idealista.com/alquiler-viviendas/sevilla/centro/alameda/,200,centro,alameda,""16,45"""
"2024-08-22 11:38:40,https://web.archive.org/web/20240822113840/https://www.idealista.com/alquiler-viviendas/sevilla/centro/alameda/,200,centro,alameda,""15,32"""
"2024-09-26 19:24:03,https://web.archive.org/web/20240926192403/https://www.idealista.com/alquiler-viviendas/sevilla/centro/alameda/,200,centro,alameda,""14,53"""
"2024-11-23 00:19:33,https://web.archive.org/web/20241123001933/https://www.idealista.com/alquiler-viviendas/sevilla/centro/alameda/,200,centro,alameda,""15,95"""
"2025-01-23 16:13:41,https://web.archive.org/web/20250123161341/https://www.idealista.com/alquiler-viviendas/sevilla/centro/alameda/,200,centro,alameda,""14,87"""
"2024-04-08 00:07:33,https://web.archive.org/web/20240408000733/https://www.idealista.com/alquiler-viviendas/sevilla/centro/feria/,200,centro,feria,""16,07"""
"2024-05-11 12:16:43,https://web.archive.org/web/20240511121643/https://www.idealista.com/alquiler-viviendas/sevilla/centro/feria/,200,centro,feria,""17,29"""
"2024-07-17 01:45:02,https://web.archive.org/web/20240717014502/https://www.idealista.com/alquiler-viviendas/sevilla/centro/feria/,200,centro,feria,""14,57"""
"2024-08-25 08:44:17,https://web.archive.org/web/20240825084417/https://www.idealista.com/alquiler-viviendas/sevilla/centro/feria/,200,centro,feria,""15,17"""
"2024-09-19 17:31:01,https://web.archive.org/web/20240919173101/https://www.idealista.com/alquiler-viviendas/sevilla/centro/feria/,200,centro,feria,""15,64"""
